selection_rank	sequence_id	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	qc_pass	qc_reasons	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	pareto_rank	crowding_distance
1	gen_0	99	True	False	False	False	True	0.1003069999	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	3	0.7826086957	0.1304347826	ref_001143	0.43478	0.0813003252	0.2323232323	0.1869918699	92	0.9186996748	0.5942687787	gen_36	0.7800008	0.2199992							0	inf
2	gen_101	71	True	False	False	False	True	0.03998976006	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.3	2.7e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.9168199344	gen_161	0.7887338028	0.2112661972	2e-18	59.8	1	39	11	49	0	inf
3	gen_194	99	True	False	False	False	True	0.02138296595	0.06061925601	False	True	False	[]	True	False	[]	True		detected	56.8	1.7e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9262373817	gen_142	0.6565687879	0.3434312121	1.1e-17	57.3	1	39	10	48	0	inf
4	gen_47	100	True	False	False	False	True	0.1638509017	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001168	0.25806	0.05714185714	0.31	0.2214285714	384	0.9428581429	0.578927053	gen_36	0.7900024	0.2099976							0	inf
5	gen_55	94	True	False	False	False	True	0.0368950792	0.06061925601	False	True	False	[]	True	False	[]	True		not_detected	0	1000	0	False	0	23	23	11	1	0.4782608696	ref_000170	0.31707	0.2765929787	0.8723404255	0.9425287356	474	0.7234070213	0.9849906458	gen_195	0.1382985106	0.8617014894							0	inf
6	gen_95	104	True	False	False	False	True	0.07131533659	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	62.1	3.7e-19	0.9743589744	True	0.9928229665	23	21	12	0.9130434783	0.5217391304	ref_000436	0.43333	0.3749971154	0.8653846154	1.046511628	7.01e-13	0.6250028846	0.7889362189	gen_51	0.4038461538	0.5961538462	2.5e-19	62.6	1	38	11	48	0	inf
7	gen_199	120	True	False	False	False	True	0.03492641064	0.06061925601	False	True	False	[]	True	False	[]	True		detected	59.3	2.7e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9367075847	gen_56	0.4500026667	0.5499973333	2.1e-18	59.7	1	39	20	58	0	0.5053739997
8	gen_39	71	True	False	False	False	True	0.03153631034	0.06061925601	False	True	False	[]	True	False	[]	True		detected	55.6	3.9e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9202091071	gen_101	0.6338049296	0.3661950704	3.1e-17	55.9	1	39	11	49	0	0.5032562416
9	gen_115	127	True	False	False	False	True	0.06493435772	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	detected	45.5	5.6e-14	0.9743589744	True	0.1818181818	23	23	18	1	0.7826086957	ref_001050	0.62651	0.4094514173	0.6535433071	0.7685185185	1.79e-26	0.5905485827	0.9476795489	gen_123	0.3464567717	0.6535432283	4e-14	46	2	39	12	49	0	0.4814845414
10	gen_42	84	True	False	False	False	True	0.02131395013	0.06061925601	False	True	False	[]	True	False	[]	True		detected	60.9	8.8e-19	1	True	0.980861244	23	23	23	1	1	ref_000741	0.85714	0.85714	1	1	1.04e-48	0.14286	0.9076798901	gen_173	0.8488395349	0.1511604651	6.8e-19	61.3	1	39	11	49	0	0.4007704312
11	gen_123	120	True	False	False	False	True	0.03522013689	0.06061925601	False	True	False	[]	True	False	[]	True		detected	50.5	1.5e-15	1	True	0.3301435407	23	23	23	1	1	ref_001104	0.64545	0.5819631148	0.9166666667	0.9016393443	9.62e-37	0.4180368852	0.9090081246	gen_97	0.4632352941	0.5367647059	1e-15	51.1	1	39	18	56	0	0.3942830773
12	gen_130	120	True	False	False	False	True	0.08245324202	0.06061925601	True	True	False	[]	True	False	[]	True	composition_outlier_warning	not_detected	0	1000	0	False	0	23	21	7	0.9130434783	0.3043478261	ref_000512	0.27778	0.125001	0.45	0.75	995	0.874999	0.736571888	gen_121	0.5000020833	0.4999979167							0	0.3056980014
