selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	aggregate_score
1	vae_candidate_000228	124	detected	59.3	2.4e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	17	55	23	23	23	1	1	nat_dca06c4ca76aafac96e9	0.60577	0.5080651613	0.8387096774	1	3.79e-36	0.4919348387	0.5727150473	vae_candidate_000731	0.5359968	0.4640032	0.7456706682
2	vae_candidate_000620	149	detected	56.2	2.2e-17	1.5e-17	56.7	1	True	0.6967213115	1	39	9	47	23	23	23	1	1	nat_8d5392221648a605a7c2	0.45638	0.45638	1	1	3.94e-31	0.54362	0.6858968282	vae_candidate_000121	0.4093922819	0.5906077181	0.7315595349
3	vae_candidate_000343	114	detected	58.5	4.1e-18	2.7e-18	59.1	1	True	0.8524590164	1	39	8	46	23	23	23	1	1	nat_942bc0624c6f9016a403	0.56452	0.5185220741	1	0.9185185185	3.77e-38	0.4814779259	0.5562027613	vae_candidate_000273	0.6052605263	0.3947394737	0.7225349259
4	vae_candidate_000959	108	detected	62.3	2.7e-19	2.7e-19	62.3	1	True	1	1	39	12	50	23	23	22	1	0.9565217391	nat_4b58b860e36e01bdb682	0.61111	0.61111	1	1	4.13e-34	0.38889	0.5340109649	vae_candidate_000020	0.6018566667	0.3981433333	0.719855676
5	vae_candidate_000160	121	detected	58.4	4.7e-18	7.8e-22	70.5	1	True	0.8524590164	1	39	12	50	23	23	23	1	1	nat_75679c0d4db585656573	0.61261	0.5619810744	0.9173553719	1	9.36e-36	0.4380189256	0.5711403589	vae_candidate_000948	0.5867771901	0.4132228099	0.7154045752
6	vae_candidate_000293	93	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	0.351062766	0.503451581	vae_candidate_000536	0.6559143011	0.3440856989	0.7115794064
7	vae_candidate_000346	115	detected	61.1	6.6e-19	4.5e-19	61.6	1	True	0.9918032787	1	39	25	63	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.63964	0.6173916522	0.9652173913	1	8.65e-37	0.3826083478	0.5005147707	vae_candidate_000574	0.6521711304	0.3478288696	0.7078620341
8	vae_candidate_000439	87	detected	60.1	1.3e-18	9e-19	60.7	1	True	0.9836065574	1	39	13	51	23	23	23	1	1	nat_75679c0d4db585656573	0.65591	0.6630394565	1	1	8.4e-38	0.3369605435	0.483455341	vae_candidate_000591	0.63636	0.36364	0.7010056105
9	vae_candidate_000652	84	detected	60.9	7.7e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	11	49	23	23	23	1	1	nat_8f5ca23cd23d0262e12b	0.74667	0.6666696429	0.8928571429	0.9868421053	9.33e-35	0.3333303571	0.4783625423	vae_candidate_000876	0.6547602381	0.3452397619	0.7008740445
10	vae_candidate_000633	99	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	0.4141378788	0.5239232653	vae_candidate_000364	0.6666690909	0.3333309091	0.6976300401
